"","pos_date","valg","wc","Navn","Parti","Statement","year"
"1",2000-09-28,1997,69,"D a g s o r d e n ","Regjering","1. Innstilling fra Stortingets presidentskap om reguleringav lønnen for Høyesteretts medlemmer(Innst. S. nr. 258 (1999-2000))2. Innstilling fra valgkomiteen om valg av medlemmerog varamedlemmer av A/S Vinmonopolets bedriftsforsamling(Innst. S. nr. 259 (1999-2000))3. ReferatS t a t s r å d G u r i I n g e b r i g t s e n overbrakte 4 kgl. proposisjoner (se under Referat)",2000
"2",2000-09-28,1997,8,"Presidenten","Stortinget","Representanten Rolf Reikvam vil fremsette et privat forslag.",2000
"3",2000-09-28,1997,44,"Rolf Reikvam ","SV","På vegne av Kristin Halvorsen,Øystein Djupedal og meg selv vil jeg fremsette et forslagom å investere deler av inntektene ved salg av Telenoraksjer i forskning og utdanning. Innstilling fra Stortingets presidentskap om reguleringav lønnen for Høyesteretts medlemmer (Innst. S. nr. 258(1999-2000)",2000
"4",2000-09-28,1997,32,"Presidenten","Stortinget","Ingen har bedt om ordet.(Votering, se nedenfor)S a k n r . 2Innstilling fra valgkomiteen om valg av medlemmer ogvaramedlemmer av A/S Vinmonopolets bedriftsforsamling (Innst. S. nr. 259 (1999-2000)",2000
"5",2000-09-28,1997,39,"Presidenten","Stortinget","Ingen har bedt om ordet.(Votering, se nedenfor)Vi går da til votering over de to saker som nå er behandlet. Votering i sak nr. 1Presidentskapet hadde innstillet:Med virkning fra 1. oktober 2000 fastsettes lønnen forHøyesteretts medlemmer slik",2000
"6",2000-09-28,1997,19,"Presidenten","Stortinget","Representanten Hallgeir H. Langelandvil fremsette et privat forslag. Høyesterettsjustitiarius ..................... kr 890 000 pr. årHøyesterettsdommer ......................... kr 735 000 pr. å",2000
"7",2000-09-28,1997,35,"Hallgeir H. Langeland ","SV","På vegner av KarinAndersen og meg sjølv vil eg fremja eit forslag om ei tilleggsmelding til oljemeldinga som skal retta spesiellmerksemd på oljearbeidaranes vilkår og på helse, miljøog tryggleiksaspekt ved arbeid knytt til norsk sokkel.",2000
"8",2000-09-28,1997,7,"Presidenten","Stortinget","Representanten Karin Andersen vilfremsette et privat forslag",2000
"9",2000-09-28,1997,21,"Karin Andersen ","SV","På vegne av meg sjøl vil jegfremsette et forslag om tilleggsbevilgning på budsjettetfor år 2000 for å skaffe boliger til bostedsløse",2000
"10",2000-09-28,1997,8,"Presidenten","Stortinget","Representanten Morten Lund vil fremsette et privat forslag",2000
